Amina Flow,Flotation Column 03 Air Flow,% Iron Concentrate,% Silica Concentrate
539.673,248.313,67.06,1.11
573.517,252.092,66.97,1.27
592.133,251.115,66.75,1.36
601.807,248.071,66.63,1.34
626.099,249.434,66.85,1.15
624.023,251.279,65.76,2.76
598.999,250.928,65.89,2.65
590.363,250.763,66.68,1.73
596.313,251.389,66.52,1.81
586.426,248.95,65.55,2.83
564.575,250.653,65.55,2.83
555.206,252.125,66.74,1.5
536.316,247.797,66.26,1.94
514.771,249.741,67.6,1.09
511.475,249.39,67.3,1.51
572.449,251.565,66.3,1.96
535.553,248.687,66.21,3.57
508.118,250.598,67.24,1.12
443.481,250.95,66.23,1.49
450.806,250.269,66.42,1.47
427.307,250.269,67.16,1.16
387.421,249.28,67.17,1.15
340.698,251.807,67.44,1.17
362.671,251.499,66.4,2.5
340.607,247.961,65.12,4.14
316.467,249.873,64.26,3.34
310.669,250.269,64.08,4.08
372.925,250.159,63.53,5.36
329.865,248.95,63.33,4.96
420.197,250.642,63.33,4.96
551.178,249.313,65.15,2.97
569.702,250.708,65.65,2.67
556.763,251.807,66.47,1.59
358.856,248.708,66.21,1.52
495.453,250.763,66.41,1.82
307.068,251.213,64.92,2.98
450.562,251.807,66.16,1.99
546.875,248.071,65.58,2.36
543.823,254.883,66.21,1.83
544.22,247.225,66.21,1.83
563.354,248.511,65.5,3.42
562.134,248.071,64.565,3.865
553.589,249.741,64.565,3.865
554.688,249.961,62.95,4.97
530.182,251.169,62.83,5.06
542.053,249.807,64.29,3.62
565.43,249.928,63.62,4.92
560.181,251.389,65.87,2.13
559.998,249.719,65.16,2.77
564.117,250.499,65.87,2.03
524.902,249.983,65.92,2.12
568.848,248.95,65.9,2.4
515.259,249.565,65.78,2.43
516.602,248.511,65.15,2.99
465.881,250.851,62.95,5.04
309.601,248.95,63.83,4.71
304.626,249.181,63.83314917,4.704751381
518.951,251.115,64.4,3.76
496.948,249.532,64.1,3.55
536.194,250.708,64.29,3.06
537.537,250.005,66.55,1.44
549.011,249.038,66.25,1.59
545.959,249.807,66.92,1.52
527.344,248.84,66.17,1.96
484.009,250.488,67.11,1.9
568.359,251.016,67.11,1.9
466.187,252.334,66.29,1.09
549.316,248.95,67.22,1
391.113,248.071,66.24,1.04
404.358,252.114,67.04,1.25
468.689,248.972,66.42,2.46
448.639,250.601,66.44,2.67
429.993,250.488,66.61,1.95
436.096,248.643,65.85,2.4
428.162,248.95,66.5,2.03
453.491,249.291,65.94,1.79
457.214,251.082,65.94,2.02
454.102,248.95,65.69,1.94
429.81,251.807,64.47,3.09
416.626,251.851,66.17,1.38
368.4968947,251.433,65.83,1.87
379.333,252.795,66.41,1.86
362.152,248.071,66.23,1.27
329.712,247.896,65.49,1.9
324.036,250.313,65.62,2.48
432.739,250.159,65.15,3.01
442.627,247.489,64.98,2.9
438.782,248.884,63.56,4.17
442.413,250.719,64.59,3.88
436.859,247.522,63.99,4.3
432.129,249.565,64.07,4.08
431.641,251.631,63.6,4.17
424.805,249.829,63.8,4.69
434.082,248.577,63.47,4.39
436.89,250.005,64.05,3.99
445.557,250.708,63.03,4.69
439.88,251.851,63.74,4.4
434.937,248.862,63.6,4.71
442.749,249.631,64.41,4.06
443.787,250.115,65.68,1.3
557.983,248.071,63.32,5.3
524.475,250.961,66.06,1.24
513.458,251.873,65.61,2.08
523.071,252.246,65.04,2.66
515.35,248.511,64.86,2.49
531.25,248.093,66.89,1.31
526.581,248.895,64.04,4.26
541.556,249.923,65.36,3.3
513.306,246.094,65.64,3.11
531.372,251.565,64.84,3.28
526.733,248.84,64.63,3.77
533.661,251.389,65,3.48
533.936,251.279,66.33,1.01
315.7051702,251.763,66.33,1.01
303.4225,249.39,66.33,1.01
288.4375,249.895,66.33,1.01
273.4525,250.488,66.33,1.01
258.4675,251.191,66.33,1.01
446.5075123,252.62,66.33,1.01
580.1379821,249.587,66.33,1.01
524.841,249.631,66.33,1.01
502.014,248.84,66.08,1.31
462.646,248.203,65.97,2.36
524.353,252.081,66.49,1.81
476.837,249.39,66.82,1.45
494.08,250.159,66.89,1.23
547.729,249.038,66.62,1.39
509.399,248.687,66.63,1.06
